,tags,1,new
347,"['lem', 'handShift', 'mod']",1,"['lem', 'mod', 'handShift']"
348,"['line', 'ins', 'anchor']",4,"['anchor', 'ins', 'line']"
349,"['seg', 'handShift', 'app']",1,"['app', 'seg', 'handShift']"
351,"['hi', 'mod', 'app']",1,"['app', 'hi', 'mod']"
352,"['line', 'seg', 'app']",4,"['app', 'seg', 'line']"
353,"['line', 'hi', 'app']",2,"['app', 'hi', 'line']"
355,"['handShift', 'unclear', 'abbr']",1,"['unclear', 'handShift', 'abbr']"
357,"['line', 'damage', 'app']",3,"['app', 'damage', 'line']"
358,"['damage', 'unclear', 'gap']",1,"['damage', 'gap', 'unclear']"
359,"['line', 'anchor', 'app']",2,"['anchor', 'app', 'line']"
361,"['line', 'damage', 'g']",1,"['damage', 'line', 'g']"
363,"['line', 'fw', 'overw']",1,"['overw', 'fw', 'line']"
364,"['handShift', 'note', 'unclear']",1,"['note', 'unclear', 'handShift']"
366,"['handShift', 'damage', 'supplied']",4,"['supplied', 'damage', 'handShift']"
367,"['app', 'lem', 'rdg']",3,"['app', 'lem', 'rdg']"
368,"['anchor', 'mod', 'overw']",1,"['anchor', 'overw', 'mod']"
369,"['handShift', 'seg', 'hi']",3,"['seg', 'hi', 'handShift']"
370,"['anchor', 'handShift', 'g']",1,"['anchor', 'handShift', 'g']"
371,"['hi', 'mod', 'overw']",1,"['overw', 'hi', 'mod']"
372,"['handShift', 'unclear', 'app']",1,"['app', 'unclear', 'handShift']"
373,"['lem', 'gap', 'rdg']",1,"['lem', 'gap', 'rdg']"
375,"['ins', 'mod', 'app']",1,"['app', 'ins', 'mod']"
376,"['line', 'mod', 'overw']",4,"['overw', 'line', 'mod']"
378,"['under', 'mod', 'orig']",1,"['under', 'orig', 'mod']"
379,"['line', 'retrace', 'app']",1,"['app', 'line', 'retrace']"
381,"['choice', 'sic', 'corr']",1,"['choice', 'corr', 'sic']"
382,"['anchor', 'mod', 'grLine']",1,"['anchor', 'mod', 'grLine']"
383,"['rdg', 'mod', 'abbr']",1,"['rdg', 'abbr', 'mod']"
385,"['line', 'ins', 'g']",1,"['ins', 'line', 'g']"
386,"['space', 'choice', 'orig']",1,"['space', 'choice', 'orig']"
387,"['retrace', 'grLine', 'overw']",1,"['overw', 'retrace', 'grLine']"
388,"['zone', 'handShift', 'space']",1,"['space', 'zone', 'handShift']"
389,"['under', 'mod', 'supplied']",3,"['supplied', 'under', 'mod']"
390,"['line', 'seg', 'mod']",3,"['seg', 'line', 'mod']"
391,"['line', 'supplied', 'hi']",1,"['supplied', 'hi', 'line']"
392,"['mod', 'hi', 'orig']",1,"['orig', 'hi', 'mod']"
393,"['space', 'handShift', 'hi']",1,"['space', 'hi', 'handShift']"
395,"['date', 'choice', 'orig']",1,"['choice', 'date', 'orig']"
396,"['anchor', 'space', 'ins']",1,"['anchor', 'ins', 'space']"
397,"['date', 'app', 'lem']",1,"['app', 'date', 'lem']"
398,"['app', 'lem', 'choice']",1,"['choice', 'app', 'lem']"
399,"['lem', 'choice', 'orig']",1,"['choice', 'lem', 'orig']"
400,"['seg', 'app', 'lem']",1,"['app', 'seg', 'lem']"
401,"['lem', 'gap', 'space']",1,"['space', 'lem', 'gap']"
402,"['anchor', 'space', 'seg']",1,"['anchor', 'seg', 'space']"
404,"['ins', 'mod', 'overw']",1,"['overw', 'ins', 'mod']"
